YEAR,MONTH,NPGO index
1950,1,-2.1883951
1950,2,-1.4458314
1950,3,-0.9650357
1950,4,-0.8587880
1950,5,-0.6340822
1950,6,-0.5809843
1950,7,-0.7421143
1950,8,-0.5493842
1950,9,-0.6015450
1950,10,0.1194343
1950,11,-0.2570744
1950,12,-0.4933665
1951,1,-0.4785301
1951,2,-0.4138262
1951,3,-0.5695402
1951,4,-0.5611402
1951,5,-1.0714146
1951,6,-1.4352384
1951,7,-1.1039251
1951,8,-1.1748547
1951,9,-1.4195152
1951,10,-1.0693902
1951,11,-1.0120413
1951,12,-1.2247459
1952,1,-1.3350548
1952,2,-1.0909977
1952,3,-0.6695160
1952,4,-0.4337192
1952,5,-0.6265087
1952,6,-0.9726563
1952,7,-1.3356465
1952,8,-0.8974282
1952,9,-0.5826182
1952,10,-0.2578120
1952,11,-0.3162133
1952,12,0.8450804
1953,1,0.9439523
1953,2,0.7479716
1953,3,1.2173325
1953,4,1.2502004
1953,5,1.2707073
1953,6,1.0567280
1953,7,1.0407542
1953,8,0.6189014
1953,9,0.2907310
1953,10,1.0815173
1953,11,2.0496203
1953,12,1.4189550
1954,1,1.0939573
1954,2,1.1565140
1954,3,0.0793734
1954,4,-0.3725331
1954,5,-0.1640402
1954,6,0.1783807
1954,7,-0.0352034
1954,8,-0.1315375
1954,9,-0.2628033
1954,10,0.1838124
1954,11,0.3547401
1954,12,0.4041255
1955,1,0.3262073
1955,2,-0.2492755
1955,3,-0.2159785
1955,4,0.0407132
1955,5,0.2614104
1955,6,-0.0158941
1955,7,-0.0880225
1955,8,0.2745267
1955,9,-0.1102270
1955,10,-0.5241936
1955,11,-0.0800288
1955,12,-0.5180143
1956,1,0.1202669
1956,2,-0.1379598
1956,3,0.0229791
1956,4,-0.0382349
1956,5,0.1419573
1956,6,0.4710672
1956,7,0.4639145
1956,8,0.5397591
1956,9,0.3006461
1956,10,-0.0515090
1956,11,-0.2262511
1956,12,-0.7672118
1957,1,-1.2715967
1957,2,-1.9587271
1957,3,-1.3393664
1957,4,-1.2553542
1957,5,-1.0382093
1957,6,-1.1681711
1957,7,-0.7558775
1957,8,-0.9054412
1957,9,-0.9222347
1957,10,-1.0286289
1957,11,-1.4074350
1957,12,-0.7166413
1958,1,0.1166028
1958,2,0.1466304
1958,3,-1.1516998
1958,4,-0.7193548
1958,5,-0.8509836
1958,6,-0.7234244
1958,7,-0.8696465
1958,8,-0.6288164
1958,9,-0.2044341
1958,10,-0.5088080
1958,11,-0.7745184
1958,12,-0.4052313
1959,1,0.1227885
1959,2,-0.5906448
1959,3,-0.3920688
1959,4,-0.4513038
1959,5,-0.4378491
1959,6,-0.3732021
1959,7,-0.3964945
1959,8,-0.5043649
1959,9,0.0726592
1959,10,0.1341324
1959,11,-0.0479691
1959,12,0.4227848
1960,1,1.0163805
1960,2,0.8185781
1960,3,0.8632686
1960,4,0.7934822
1960,5,0.9189205
1960,6,0.3131445
1960,7,0.7091522
1960,8,0.4379447
1960,9,0.5239759
1960,10,0.4885355
1960,11,0.9533683
1960,12,1.1361285
1961,1,1.1032184
1961,2,1.3593808
1961,3,1.7493986
1961,4,0.9571569
1961,5,1.4002097
1961,6,1.2018429
1961,7,1.0626986
1961,8,1.0746483
1961,9,0.7729668
1961,10,0.3487373
1961,11,0.2205851
1961,12,0.3973708
1962,1,0.1747623
1962,2,-0.1497774
1962,3,-0.6076764
1962,4,-0.4714180
1962,5,-0.7390136
1962,6,-0.3044114
1962,7,-0.0621235
1962,8,-0.3706351
1962,9,0.3342158
1962,10,0.1642400
1962,11,0.4456053
1962,12,0.4651425
1963,1,-0.8128502
1963,2,-0.2799626
1963,3,-1.0965502
1963,4,-0.8105685
1963,5,-0.4282272
1963,6,-0.7162381
1963,7,-0.3666931
1963,8,-0.1346054
1963,9,0.1197881
1963,10,0.5071413
1963,11,0.6610747
1963,12,0.5410330
1964,1,1.0728952
1964,2,0.2924803
1964,3,0.3516698
1964,4,0.2501528
1964,5,0.2719013
1964,6,0.8840953
1964,7,1.6039742
1964,8,0.7818842
1964,9,0.9125637
1964,10,0.7126723
1964,11,0.0743834
1964,12,-0.6794434
1965,1,-0.6092707
1965,2,-0.8375497
1965,3,-0.9425717
1965,4,-0.8794335
1965,5,-1.1591951
1965,6,-0.8303012
1965,7,-0.6921826
1965,8,-0.4439617
1965,9,-0.8571234
1965,10,-0.6830458
1965,11,-0.9184142
1965,12,-1.1935027
1966,1,-0.3230444
1966,2,-1.1144480
1966,3,-0.5991017
1966,4,-1.3692633
1966,5,-1.6787180
1966,6,-1.2637274
1966,7,-1.1138805
1966,8,-0.9779195
1966,9,-0.7532504
1966,10,-0.7995287
1966,11,-0.9383970
1966,12,-0.5449956
1967,1,-0.7360513
1967,2,-0.6100609
1967,3,-1.1191961
1967,4,-0.8913807
1967,5,-0.9950983
1967,6,-1.2524850
1967,7,-1.1731513
1967,8,-0.7537996
1967,9,-0.0516779
1967,10,0.0071178
1967,11,-0.5875148
1967,12,-0.2333996
1968,1,-0.7661097
1968,2,-0.6258595
1968,3,-0.6320541
1968,4,-1.1582636
1968,5,-1.2594507
1968,6,-1.0381912
1968,7,-1.0214287
1968,8,-0.9595281
1968,9,-0.9145781
1968,10,-0.7375812
1968,11,-0.2253056
1968,12,-0.8688706
1969,1,-2.5593478
1969,2,-0.7369928
1969,3,-0.7334626
1969,4,-0.1832465
1969,5,-0.0908809
1969,6,-0.7755169
1969,7,-0.7308903
1969,8,-0.2323256
1969,9,0.0152106
1969,10,0.2899397
1969,11,-0.0412702
1969,12,1.1272413
1970,1,-0.1916392
1970,2,-0.3213368
1970,3,-0.4126358
1970,4,-0.2217705
1970,5,0.4841777
1970,6,0.3708459
1970,7,0.2724029
1970,8,0.4133234
1970,9,0.3985782
1970,10,0.2263074
1970,11,-0.2142146
1970,12,-0.0715208
1971,1,-0.2016267
1971,2,0.0596007
1971,3,0.4539293
1971,4,0.8537688
1971,5,0.4949569
1971,6,0.4126202
1971,7,0.7909253
1971,8,0.7060510
1971,9,0.5284254
1971,10,0.3306484
1971,11,0.1824713
1971,12,-0.0279593
1972,1,-0.5305133
1972,2,-0.4084414
1972,3,-0.6941104
1972,4,-0.6811307
1972,5,-0.7473883
1972,6,-0.7609987
1972,7,-0.3223986
1972,8,-0.4273615
1972,9,-0.9253972
1972,10,-1.0954562
1972,11,-0.5562061
1972,12,-0.7622423
1973,1,-0.0483632
1973,2,-0.5033958
1973,3,-0.0723475
1973,4,-0.0505891
1973,5,0.2546612
1973,6,0.5144280
1973,7,0.3235725
1973,8,0.1671817
1973,9,0.3572996
1973,10,0.3502792
1973,11,-0.1129927
1973,12,0.3392929
1974,1,-1.0033867
1974,2,-0.3864280
1974,3,-0.0262053
1974,4,0.0148188
1974,5,-0.1663480
1974,6,0.2191814
1974,7,0.3767020
1974,8,0.2616299
1974,9,-0.1677579
1974,10,0.0074986
1974,11,0.0427052
1974,12,0.7158674
1975,1,0.6387519
1975,2,0.9849084
1975,3,0.7158461
1975,4,0.6492190
1975,5,0.7158651
1975,6,0.4577881
1975,7,0.5110082
1975,8,1.0259992
1975,9,0.5732218
1975,10,0.9564959
1975,11,1.2738570
1975,12,1.0790459
1976,1,1.0782443
1976,2,1.1829994
1976,3,1.6799048
1976,4,2.4363156
1976,5,2.1807639
1976,6,2.0671275
1976,7,2.2670345
1976,8,2.4363637
1976,9,2.4321414
1976,10,1.6933671
1976,11,1.5746724
1976,12,1.3296016
1977,1,1.3217052
1977,2,1.9341241
1977,3,1.6994810
1977,4,1.3964540
1977,5,1.0719304
1977,6,0.9238298
1977,7,1.0368123
1977,8,1.2847436
1977,9,0.7664408
1977,10,1.2530538
1977,11,1.4486669
1977,12,0.8540023
1978,1,1.2148573
1978,2,1.2447465
1978,3,0.6161969
1978,4,0.4532629
1978,5,0.5867699
1978,6,0.3840904
1978,7,0.4258601
1978,8,0.8639850
1978,9,1.2864755
1978,10,0.3515937
1978,11,-0.2588840
1978,12,-1.1153547
1979,1,-0.5147863
1979,2,-0.2332915
1979,3,-0.6288369
1979,4,-1.0343610
1979,5,-0.7818061
1979,6,-0.8227211
1979,7,-1.1482481
1979,8,-1.2509887
1979,9,-0.7848141
1979,10,-0.6129027
1979,11,-0.4920720
1979,12,-0.5414346
1980,1,-1.9028722
1980,2,-1.7223209
1980,3,-1.1510684
1980,4,-0.0657821
1980,5,-0.2108014
1980,6,-0.6827408
1980,7,-0.9904321
1980,8,-1.0831368
1980,9,-0.6969075
1980,10,-0.0660234
1980,11,-0.1345049
1980,12,-0.2826969
1981,1,-0.2644073
1981,2,-1.0577437
1981,3,-0.6905393
1981,4,-0.6267043
1981,5,0.1996558
1981,6,0.0088193
1981,7,-0.5260566
1981,8,-0.6977296
1981,9,0.0029769
1981,10,-0.2877940
1981,11,0.7562201
1981,12,0.5212158
1982,1,-0.1999604
1982,2,-0.8734630
1982,3,-0.6206741
1982,4,-1.0710987
1982,5,-0.9931064
1982,6,-0.8476034
1982,7,-0.6105811
1982,8,-0.4569736
1982,9,-0.4595674
1982,10,-1.0067379
1982,11,-0.8660702
1982,12,-0.2344606
1983,1,0.6046553
1983,2,0.4739596
1983,3,0.4303206
1983,4,-0.7205152
1983,5,-0.7439660
1983,6,-0.0768873
1983,7,-0.0486378
1983,8,-0.0100078
1983,9,-0.4097358
1983,10,-0.4871472
1983,11,0.5610083
1983,12,-0.6778232
1984,1,-0.2151006
1984,2,0.4007793
1984,3,0.7190706
1984,4,1.1599523
1984,5,0.9816560
1984,6,0.7374803
1984,7,0.4158185
1984,8,0.3682070
1984,9,0.8230328
1984,10,0.9433370
1984,11,0.8624774
1984,12,0.2522900
1985,1,0.3239252
1985,2,-0.0646619
1985,3,0.2314370
1985,4,0.3192595
1985,5,0.1563369
1985,6,-0.0447182
1985,7,0.1783295
1985,8,-0.2325898
1985,9,-0.9362678
1985,10,-1.1832549
1985,11,-1.7939180
1985,12,-1.6806901
1986,1,-0.7685944
1986,2,-1.4491836
1986,3,-0.4662373
1986,4,-0.9667763
1986,5,-0.4984116
1986,6,-0.6658538
1986,7,-0.9414224
1986,8,-1.0182601
1986,9,-0.7681980
1986,10,-0.2937993
1986,11,-0.5012461
1986,12,-0.4561845
1987,1,0.6865984
1987,2,0.7675583
1987,3,0.2854138
1987,4,0.4707685
1987,5,0.2743393
1987,6,0.3944056
1987,7,0.4261996
1987,8,0.3395003
1987,9,0.1702281
1987,10,0.1212451
1987,11,0.5215173
1987,12,0.6923227
1988,1,1.1051850
1988,2,0.7968497
1988,3,0.9681488
1988,4,1.5734973
1988,5,1.7784138
1988,6,1.7426903
1988,7,1.7248738
1988,8,1.3928516
1988,9,1.3162400
1988,10,1.4868884
1988,11,1.2427056
1988,12,0.7552969
1989,1,1.3125811
1989,2,0.6617441
1989,3,0.9293370
1989,4,0.7837613
1989,5,0.5835106
1989,6,0.5221062
1989,7,1.2640097
1989,8,0.6669763
1989,9,0.6542614
1989,10,0.4417871
1989,11,-0.3006112
1989,12,-0.1725760
1990,1,0.2687734
1990,2,-0.2801757
1990,3,0.6527155
1990,4,0.2415656
1990,5,-0.0960554
1990,6,-0.0654338
1990,7,-0.2582987
1990,8,-0.3304058
1990,9,-0.1592564
1990,10,-0.1202212
1990,11,-0.7389520
1990,12,-1.5328090
1991,1,-0.7442184
1991,2,-0.3045313
1991,3,-0.8069849
1991,4,-0.2064375
1991,5,-0.0595293
1991,6,-0.3877697
1991,7,-0.4794923
1991,8,-0.5740532
1991,9,-0.9485756
1991,10,-1.0900901
1991,11,-0.1723173
1991,12,-0.2129770
1992,1,0.4930774
1992,2,-0.4565314
1992,3,-0.8208018
1992,4,-1.4336134
1992,5,-1.7956172
1992,6,-1.3506516
1992,7,-1.4624325
1992,8,-1.2474734
1992,9,-0.9466296
1992,10,-0.9689890
1992,11,-1.2806748
1992,12,-1.8686891
1993,1,-2.8169835
1993,2,-2.1408178
1993,3,-1.7419109
1993,4,-0.7588363
1993,5,-1.0894275
1993,6,-1.6821039
1993,7,-1.6785552
1993,8,-1.5143229
1993,9,-2.0474347
1993,10,-2.3542966
1993,11,-2.9986692
1993,12,-2.0005526
1994,1,-1.8540143
1994,2,-1.9786652
1994,3,-1.8557886
1994,4,-1.4470739
1994,5,-0.3013589
1994,6,-0.6116034
1994,7,-0.7111297
1994,8,-0.8587679
1994,9,-1.1048639
1994,10,-1.1107256
1994,11,-1.6884391
1994,12,-1.0167549
1995,1,-0.4990334
1995,2,-1.5608722
1995,3,-2.0546501
1995,4,-1.8249588
1995,5,-1.5042438
1995,6,-1.0479894
1995,7,-1.4994407
1995,8,-1.0060149
1995,9,-0.8939211
1995,10,-0.5177138
1995,11,-0.2774263
1995,12,0.2157619
1996,1,-0.6389771
1996,2,-1.0529048
1996,3,-1.1487637
1996,4,-0.4361166
1996,5,-1.2747659
1996,6,-1.0600342
1996,7,-0.8841357
1996,8,-0.7482501
1996,9,-0.9339284
1996,10,-1.0410775
1996,11,-1.1001672
1996,12,-1.3549181
1997,1,-1.6402249
1997,2,-1.1130951
1997,3,-0.6180283
1997,4,-0.5061382
1997,5,-0.8771942
1997,6,-0.9383933
1997,7,-0.7723616
1997,8,-0.7858272
1997,9,-0.4814762
1997,10,-0.5942590
1997,11,0.1740289
1997,12,0.2606817
1998,1,0.5279142
1998,2,1.9000587
1998,3,0.8933178
1998,4,0.5215131
1998,5,0.2775816
1998,6,0.1190225
1998,7,0.3931617
1998,8,0.2726569
1998,9,0.0444804
1998,10,0.0987511
1998,11,0.7173509
1998,12,0.7688304
1999,1,1.0828257
1999,2,2.3041594
1999,3,1.9742975
1999,4,1.6464381
1999,5,1.6045933
1999,6,1.9053233
1999,7,1.3811213
1999,8,1.4334654
1999,9,1.3049656
1999,10,1.1788208
1999,11,1.3205504
1999,12,1.0528054
2000,1,1.4045384
2000,2,2.1235311
2000,3,2.1492677
2000,4,2.3652705
2000,5,2.2202920
2000,6,2.1020662
2000,7,1.6557850
2000,8,1.3516272
2000,9,1.3801795
2000,10,1.6981881
2000,11,2.0145948
2000,12,2.1649950
2001,1,2.8619328
2001,2,2.9560468
2001,3,2.3887750
2001,4,2.2039413
2001,5,1.9538953
2001,6,2.3493030
2001,7,1.5004872
2001,8,1.9150242
2001,9,1.8929954
2001,10,1.1619115
2001,11,1.7645249
2001,12,2.0194831
2002,1,1.8641573
2002,2,2.1773568
2002,3,1.8982763
2002,4,0.8974222
2002,5,1.1025730
2002,6,1.6053913
2002,7,1.3822965
2002,8,0.8118436
2002,9,0.8244111
2002,10,0.8236371
2002,11,1.6592152
2002,12,2.6365472
2003,1,1.9691832
2003,2,0.9925656
2003,3,1.4907114
2003,4,1.1017217
2003,5,0.9192588
2003,6,0.7776915
2003,7,1.2024408
2003,8,0.7822879
2003,9,0.8692253
2003,10,1.2869910
2003,11,-0.1143679
2003,12,0.2243769
2004,1,0.2650149
2004,2,0.6672296
2004,3,0.3829324
2004,4,0.1252492
2004,5,0.2073534
2004,6,0.7764751
2004,7,0.4115681
2004,8,0.6853832
2004,9,0.3764023
2004,10,0.0429042
2004,11,-0.4417773
2004,12,-0.9852120
2005,1,-1.6584950
2005,2,-1.4948708
2005,3,-1.4866191
2005,4,-1.6856388
2005,5,-0.7895282
2005,6,-1.2838288
2005,7,-1.6634296
2005,8,-1.1301204
2005,9,-1.5725517
2005,10,-0.8891217
2005,11,-1.6606414
2005,12,-1.2525514
2006,1,-0.6459912
2006,2,-1.0694347
2006,3,-0.7099273
2006,4,-0.5658889
2006,5,-0.1219426
2006,6,-0.1274749
2006,7,-0.4990328
2006,8,-0.3666344
2006,9,-0.3395717
2006,10,-1.0490722
2006,11,-0.9959332
2006,12,-0.1555690
2007,1,-0.4123131
2007,2,-0.1370106
2007,3,-0.5493764
2007,4,0.2606223
2007,5,0.6916114
2007,6,1.2322548
2007,7,1.2293291
2007,8,1.4400573
2007,9,0.9090405
2007,10,1.2687810
2007,11,0.7284852
2007,12,0.4576465
2008,1,0.5555954
2008,2,1.1353947
2008,3,1.3742118
2008,4,1.3956119
2008,5,1.7381006
2008,6,1.2784121
2008,7,1.4275373
2008,8,2.1438271
2008,9,2.2271197
2008,10,1.7656263
2008,11,1.9696127
2008,12,0.4487874
2009,1,0.7217814
2009,2,0.9085357
2009,3,0.3306904
2009,4,0.4156361
2009,5,0.5544201
2009,6,0.3698914
2009,7,0.5599899
2009,8,0.7177649
2009,9,0.9844563
2009,10,1.1541453
2009,11,1.0548407
2009,12,1.0631780
2010,1,2.0640119
2010,2,1.8397684
2010,3,1.6540684
2010,4,1.1788223
2010,5,1.8660236
2010,6,1.2382043
2010,7,1.1456281
2010,8,1.0779035
2010,9,1.0036749
2010,10,1.6059417
2010,11,0.9880337
2010,12,0.7796267
2011,1,0.3214370
2011,2,0.5494489
2011,3,1.2026043
2011,4,0.5958568
2011,5,1.3947862
2011,6,1.1129413
2011,7,1.0354089
2011,8,1.0362570
2011,9,1.3281108
2011,10,1.2045161
2011,11,0.3741779
2011,12,0.1315361
2012,1,0.8333784
2012,2,0.8624341
2012,3,1.1165134
2012,4,1.9264089
2012,5,1.6274147
2012,6,1.9383260
2012,7,1.8605661
2012,8,1.7305455
2012,9,1.3583948
2012,10,1.8664464
2012,11,1.4018370
2012,12,1.2003042
2013,1,1.2303061
2013,2,1.2033246
2013,3,0.6419875
2013,4,0.4757454
2013,5,0.8517123
2013,6,0.7259233
2013,7,0.4508211
2013,8,0.5613921
2013,9,0.3898590
2013,10,-0.1475089
2013,11,-0.8050560
2013,12,-1.4525610
2014,1,-0.3899692
2014,2,-0.2672436
2014,3,-0.4540174
2014,4,-0.6174035
2014,5,0.2278303
2014,6,-0.4168356
2014,7,-0.1332605
2014,8,-0.5449468
2014,9,-0.7764748
2014,10,0.4252570
2014,11,0.3118137
2014,12,-0.3548381
2015,1,-0.5502570
2015,2,-1.2726712
2015,3,-1.3949461
2015,4,-1.3779456
2015,5,-0.7195415
2015,6,-1.2491977
2015,7,-1.4735073
2015,8,-1.9276433
2015,9,-2.1038500
2015,10,-1.3062118
2015,11,-2.2533168
2015,12,-1.1054027
2016,1,0.9388876
2016,2,0.2296910
2016,3,0.4734220
2016,4,-0.3998483
2016,5,-0.6819283
2016,6,-0.9577713
2016,7,-0.4864393
2016,8,-0.5436331
2016,9,-0.7732773
2016,10,0.3527754
2016,11,1.1604373
2016,12,-1.5408380
2017,1,-0.2663885
2017,2,-0.6706080
2017,3,-0.8942247
2017,4,-0.1126340
2017,5,-0.4577093
2017,6,-0.2945526
2017,7,-0.4449877
2017,8,-0.5310779
2017,9,-0.5257936
2017,10,-1.4104447
2017,11,-2.0575759
2017,12,-2.6851348
2018,1,-1.4850568
2018,2,-2.2327564
2018,3,-2.0429687
2018,4,-2.0587792
2018,5,-1.9215388
2018,6,-1.9344150
2018,7,-1.5719998
2018,8,-2.1246452
2018,9,-2.3284792
2018,10,-2.3381128
2018,11,-1.7539675
2018,12,-1.0830255
2019,1,-0.8576229
2019,2,-2.5719899
2019,3,-1.9929292
2019,4,-2.1538644
2019,5,-2.1198764
2019,6,-1.9872847
2019,7,-2.2190509
2019,8,-1.9868903
2019,9,-2.5294832
2019,10,-2.6746197
2019,11,-3.6465155
2019,12,-2.9323804
2020,1,-1.7093386
2020,2,-2.0414060
2020,3,-1.7657180
2020,4,-1.8853591
2020,5,-1.0498390
2020,6,-1.4469474
2020,7,-1.2455985