OEY,KLM,KLY,ATN,ATS,RBT,PPS,QUI,BQR,COW,NAN,CHI,HAR,DOM,NIC,SHU,MSH,PHI,STI,TAK,CHK,UNU,AKS,NKS,NSF,SKF,SKS,SSF,STL,UWA,NIS,SAM,SKY,SPS,SPY,SQP,WRY,ELW,HOK,QUE,SOO,CWF,LRH,LRW,SPR,WSH,HAN,LYF,LYY,SUM,URB,ELK,SRH,GAD
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064,,,,,,,,,,,0.0826,,,,,,,,,0.0077
1974,,,,,0.0348,,,0.0938,,,,,,,,,,,,,,,,,,,,,,,,,0.0549,,,,,,,,,,,0.0381,,,,,,,,,NA
1975,,,,,0.201,,0.0896,0.2544,,,,,,,,,,,,,,,,,,,,,,,0.1447,,0.0264,,,,,,,,,,,0.062,,,,,,,,,0.039
1976,,,,,0.1007,0.0471,0.0207,0.0935,,,,,,,,,,,,,,,,,,,,,0.0977,,0.057,,0.0951,,,0.0403,,,,,,,,0.0264,,,,,0.0037,0.0746,,,0.0054
1977,,,,,0.1238,0.1276,0.0904,0.2062,,,,,,,,,,,0.1555,,,,,,,,,,0.1803,,NA,,NA,,,0.0014,,,,,,0.0035,,0.0256,0.0332,,,,0.0056,0.0326,,0.0849,NA
1978,,,,,0.0303,0.0193,0.0262,0.0382,,,,,,,,,,,0.0264,,,0.2529,,,,,,,0.0969,,NA,,NA,,,NA,,,0.0073,,0.011,0.0242,0.0449,0.0301,0.0472,,,,0.0034,0.0254,0.0151,0.05,NA
1979,,,,,0.0711,0.0226,0.0481,0.0205,,,,,,,,,,,0.0182,,,0.0237,,,,,,,0.1208,,NA,,0.0155,0.0108,,NA,,,0.0088,,0.0081,0.0191,0.0104,0.0338,0.0499,,,,NA,0.0402,0.1152,0.0796,0.0631
1980,,,,,0.0652,0.0091,0.0245,0.0089,,0.0819,,,,,,,,,0.0173,,,0.0685,,,,,,,0.107,,0.1194,,0.0441,0.0171,,NA,,,0.0313,,0.0044,0.0167,0.0325,0.0408,0.0249,,,,NA,0.0236,0.1065,0.0402,0.0092
1981,0.0098,,,,0.0495,0.0215,0.0302,0.0083,,0.1363,,,,,,,,,0.0353,,,0.1846,,,,,,0.0028,0.0299,,NA,,0.0237,0.0169,,NA,,,0.0108,,0.0129,0.0088,NA,0.0057,0.034,,,,NA,0.02,0.1458,0.0557,0.0047
1982,0.0165,,,,0.0351,0.0087,0.0769,0.0186,,NA,0.3055,0.2397,,,,,,,0.0187,,,0.1466,,,,,,0.0051,0.0526,,NA,,0.038,0.0095,,NA,,,0.0075,,0.0066,0.0088,NA,0.0106,0.0412,,,,NA,0.0191,0.0539,NA,0.037
1983,0.0246,,,,0.0172,0.0075,0.0423,0.0299,,0.0094,0.0503,0.038,,,,,,,0.1314,,,0.1729,0.024,,,0.04,,0.016,0.056,,NA,,0.0225,NA,,NA,0.0232,,0.0092,,0.0093,0.0111,0.0284,0.0361,0.0575,,,,NA,0.026,0.0104,0.0697,NA
1984,NA,,,,0.0012,0.0052,0.0368,0.0263,,NA,0.0946,0.0103,,,,,,,NA,,0.1322,0.2304,0.0114,,,0.0148,,0.0132,0.0873,,NA,,0.0209,NA,,NA,0.0177,,0.041,,0.0272,0.0034,0.0316,0.004,0.0092,,,,0.0053,0.0606,0.329,0.0755,NA
1985,0.0126,,,,0.0439,0.0075,0.0463,0.0042,,NA,0.1309,0.0106,,,0.067,,,,NA,,0.0868,0.1524,NA,,,0.0058,,NA,0.0818,,NA,,0.0384,NA,,NA,0.0213,,NA,,0.0354,0.0959,0.0434,0.0012,0.0295,,0.0206,,0.0061,0.0589,0.174,0.091,NA
1986,0.0162,,,,0.0421,0.0023,0.0127,0.0044,0.0267,NA,0.0398,0.0138,,,0.049,,,,NA,,0.0733,0.104,0.036,,,0.0156,,NA,,,0.0075,,0.011,NA,,NA,0.0059,0.0054,0.0299,0.0026,0.0074,0.0058,0.0433,0.0035,0.0425,,NA,0.0245,0.0219,0.0173,0.2202,0.0195,0.0286
1987,0.0093,,0.0095,,0.0956,0.0076,0.0249,0.0131,NA,NA,0.2864,0.0722,,0.0383,0.0475,,,,NA,,0.0184,0.0574,NA,,0.0067,0.0751,,0.0367,,,0.0583,,0.0548,0.0576,0.0222,NA,0.0029,0.0248,0.0389,0.0019,0.0047,0.0028,0.0517,0.0118,0.0496,0.0158,0.0113,NA,0.0042,0.0084,0.0742,0.0541,0.016
1988,0.0021,,0.0146,,0.097,0.0022,0.0126,0.0052,0.0334,0.0048,0.069,0.0263,0.0042,0.0074,0.0351,,,,NA,,0.1053,0.123,0.001,,NA,0.0169,,0.0255,,,0.0156,,0.008,0.1446,0.0344,NA,NA,0.0259,0.033,0.0095,0.0014,0.0035,0.0227,0.0085,0.0634,0.0041,0.0008,0.0458,0.0128,0.0017,0.0307,0.0499,0.0318
1989,0.0174,,0.0244,,0.1297,0.0049,0.0115,0.0113,0.0557,0.0262,0.284,0.1085,0.0115,0.032,0.0135,,,,NA,,NA,0.0617,0.0035,,NA,0.024,,0.0331,,,0.0078,,0.0143,0.0031,0.0203,NA,0.0002,NA,0.013,NA,0.0035,0.0042,0.0215,0.0132,0.0431,0.0054,0.0009,0.0241,0.0062,0.0044,0.0252,0.0184,0.0035
1990,0.004,,0.0274,,0.0987,0.0068,0.0023,0.0069,0.0637,0.049,0.2141,0.0721,0.0197,0.0155,0.0101,,,,NA,,NA,0.0439,0.0121,0.0029,NA,NA,,0.0352,,,0.0074,,0.0044,0.0376,0.0086,NA,0.002,0.0108,0.0449,0.0155,0.0026,0.0181,0.0146,0.0148,0.0309,0.0126,0.004,0.0458,0.0009,0.0099,0.0725,0.044,0.0026
1991,0.0016,,0.0388,,0.0554,0.0023,0.006,0.0077,0.0683,0.0574,0.0651,0.022,0.0082,0.0329,0.0813,,,,NA,,NA,0.032,0.0155,0.0065,NA,NA,,0.066,,,0.0254,,0.0194,0.0097,0.036,NA,0.0032,0.016,0.0407,0.0046,0.0053,0.0044,0.0189,0.0038,0.0283,0.0174,NA,NA,0.0024,0.0214,0.0392,0.1009,0.0005
1992,0.003,,0.0489,0.0242,0.0111,0.0011,0.0067,0.0041,0.0272,0.0069,0.0168,0.004,0.0246,0.0947,0.009,,,,NA,,NA,0.04,0.0185,NA,NA,0.027,,0.0031,,,0.0099,,0.0066,0.0276,NA,NA,0.0006,0.0118,0.0106,0.0007,0.0021,0.0002,0.0154,0.0043,0.025,0.0035,NA,NA,0.0001,0.0016,0.0367,0.0108,0.0013
1993,0.0099,,0.0226,0.0433,0.0003,0.001,0.003,0.0012,0.0256,0.0171,0.0556,0.0065,0.0167,0.0685,0.0323,,,,0.2647,,NA,0.0497,NA,NA,NA,NA,,0.0095,,,0.0087,,0.0357,0.025,0.0038,NA,0.0048,0.0122,0.0132,0.0046,0.0035,0.0005,0.015,0.0044,0.0175,0.0145,NA,0.0103,0.0113,0.0077,0.063,0.048,0.0042
1994,0.0096,,0.0217,0.0319,0.0223,0.0035,0.0069,0.0058,0.018,0.039,0.0544,0.0205,0.0175,0.0012,0.021,,,,0.1212,,0.0191,0.0446,0.004,0.0027,NA,NA,,0.0175,,,0.0167,,0.0388,0.0508,0.0307,NA,0.005,0.0164,0.0389,0.005,0.0036,0.0006,0.0083,0.0056,0.0114,0.0184,NA,0.0148,0.0134,0.0258,0.1101,0.0957,0.008
1995,0.0073,,0.0338,0.0583,0.0468,0.0018,0.0085,0.004,0.0174,0.0119,0.1168,0.0378,0.0236,0.0097,0.0322,,,,0.0386,,0.0747,0.0286,0.0034,0.0091,0.0075,0.0112,0.0022,0.0201,,,0.0238,,0.0131,0.003,0.0065,NA,0.002,0.0228,0.0248,0.0022,0.0006,0.002,0.0037,0.0032,0.0132,0.0019,0.0401,0.0485,0.0009,0.0021,0.0574,0.0473,0.0014
1996,0.0101,,0.0291,NA,0.0042,NA,0.0093,0.0023,0.0088,0.009,0.0388,0.01,0.0014,0.013,0.0273,,,,0.0655,,0.028,0.048,0.0022,0.046,0.0117,0.014,0.0044,0.0153,,,0.0031,,0.0069,0.007,0.0039,NA,,0.007,0.0087,0.0036,0.0023,0.0007,NA,0.0015,0.0144,0.0087,NA,0.0175,0.0076,0.0327,0.083,0.0228,0.0031
1997,0.0049,,0.0172,NA,0.0015,0.0043,0.0168,0.0038,0.0083,0.0112,0.1649,0.0232,0.0027,0.0737,0.0317,,,,0.1192,,0.0747,0.0439,0.0015,0.0089,0.0071,0.0374,0.0077,0.0162,,,0.0031,,0.0228,0.0004,NA,NA,,0.0136,0.011,0.0011,0.0014,0.0054,0.0023,0.0114,0.015,0.0049,NA,0.0467,0.0105,0.007,0.0157,0.0261,0.0231
1998,0.0093,,0.0051,NA,0.0007,0.0178,0.0194,0.0056,0.011,0.0155,0.0305,0.0083,0.0094,0.0572,0.0073,,,,0.1145,,0.0688,0.1035,0.0061,0.0337,0.0414,0.0085,0.0116,0.016,,,0.0051,,0.0122,0.0035,0.0233,NA,,0.0051,0.0307,0.0026,0.0019,0.0022,0.0117,0.0034,0.0247,0.0065,NA,0.0182,0.0414,0.004,0.1553,0.0725,0.0037
1999,0.0172,,0.0214,NA,0.0366,0.0106,0.0134,0.0053,0.0129,NA,0.1224,0.0092,0.0145,0.0771,0.0641,,,,0.0857,,0.04,0.0385,,0.0132,0.0142,0.0089,0.0334,0.0067,,0.02,0.0391,,0.0432,NA,,NA,,0.0224,0.0536,0.0085,0.005,0.0174,0.0219,0.0379,0.0271,0.0224,0.0423,0.0546,0.0436,0.0153,0.1067,0.0573,0.0191
2000,0.0125,,0.0133,NA,0.0558,0.0049,0.0102,0.0048,0.0094,0.0164,0.1972,0.021,0.0126,0.1554,0.0515,,,0.055,0.1257,,0.0937,0.062,,0.0265,0.0282,0.0059,0.0152,NA,,0.0236,0.0165,,0.0227,0.0017,,NA,,0.0304,0.0629,0.0093,0.0128,0.0303,0.069,0.0419,0.0718,0.0431,0.0169,0.0493,0.0116,0.0141,0.0921,0.1024,0.014
2001,0.0126,0.0696,0.0136,NA,0.0411,0.0066,0.009,0.0027,0.0047,0.0179,0.1553,0.0144,NA,0.077,0.0378,,,0.0628,0.1725,0.0803,0.0265,0.0707,,0.0119,0.0147,0.0612,0.0088,NA,,0.0285,0.006,0.0093,0.0161,0.0012,,NA,,0.0072,0.0366,0.0118,0.0017,0.0338,0.029,0.0338,0.0342,0.0067,NA,0.0429,0.0387,0.0048,0.0652,0.0903,0.0134
2002,0.0044,0.13,0.0336,NA,0.0684,0.0053,0.0121,0.0067,0.0058,0.0178,0.1321,0.0241,0.0032,0.0103,0.0239,,,0.0577,0.1527,0.0625,0.0585,0.0811,,0.0054,0.0073,0.0518,0.0171,NA,,0.0095,0.0099,0.0065,0.0103,NA,,NA,,0.0117,0.0515,0.0081,0.004,0.0095,0.0208,0.04,0.0362,0.0156,0.0114,0.0563,0.0223,0.0186,0.0298,0.0516,0.0142
2003,0.005,0.0705,0.0182,NA,0.0287,0.01,0.0088,0.0054,0.0033,0.0088,0.0942,0.0086,0.0041,0.0163,0.0432,,,0.016,0.0649,0.0361,0.0224,0.0898,,0.0176,0.0094,0.038,0.0163,0.0117,,0.0247,0.012,0.008,0.0223,0.0167,,NA,,0.0106,0.0111,0.0009,0.0014,0.0021,0.0135,0.0076,0.0103,0.0061,0.0049,0.0603,0.0184,0.0057,0.0309,0.0269,0.0229
2004,0.0051,0.1149,NA,NA,0.0501,0.0093,0.0101,0.013,0.0046,NA,0.1059,0.0137,0.0036,0.0152,0.0087,,,0.0705,0.0376,0.0163,0.0453,0.0831,,0.0058,0.0168,0.0484,0.0176,0.0065,,0.0429,0.0279,0.0116,0.0227,0.0007,,0.057,,0.0066,0.0106,0.0006,0.0016,0.001,0.0038,0.0045,0.0149,0.0035,0.0039,0.0203,0.0105,0.0024,0.0203,0.0063,0.0167
2005,0.0122,0.103,NA,NA,0.0064,0.0032,0.0059,0.0016,NA,0.0309,0.0185,NA,,0.0025,0.0084,,,0.033,0.0749,0.0378,0.0267,0.1053,,0.0078,0.0186,0.0187,0.0164,0.0123,,0.0284,0.011,0.0194,0.023,0.0119,,0.0081,,0.0011,0.0252,0.0001,0.0011,0.0011,0.0028,0.0017,0.0073,0.003,0.0022,0.053,0.0196,0.0008,0.0732,0.0454,0.0083
2006,0.006,0.0877,0.0225,NA,0.0302,0.0098,0.0086,0.0074,0.0045,,0.1372,0.0677,,0.0239,0.0352,,,0.0144,0.0214,0.0318,0.0233,0.0687,,0.0067,0.0268,0.0479,0.0121,0.0237,,0.024,0.0363,0.0043,0.0277,0.0028,,0.0258,,0.0091,0.0358,0.0059,0.0044,0.0059,0.0088,0.0183,0.0114,0.0066,0.0539,0.0619,0.0176,0.027,0.0279,0.031,0.022
2007,0.0189,NA,0.0109,NA,0.008,0.0053,0.0016,0.0074,0.0035,,0.0231,0.008,,0.0049,0.0281,,,0.0236,0.0586,0.0498,0.0407,0.0605,,0.0187,0.0092,0.0119,0.0076,0.004,,0.0132,0.007,0.0052,0.0133,0.0026,,0.0062,,0.0109,0.0289,0.0011,0.0066,0.0048,0.006,0.0043,0.0155,0.0058,0.0053,0.0388,0.0347,0.0013,0.177,0.0337,0.0102
2008,0.0114,0.0532,0.016,NA,0.0455,0.0081,0.0067,0.0053,0.0068,,0.2229,0.0574,,0.0478,0.0218,,,0.024,0.0343,0.0224,0.014,0.0387,,0.008,0.0115,0.0152,0.0105,0.0175,,0.0346,0.0322,0.0059,0.0293,0.0045,,0.0138,,0.0261,0.0529,0.0178,0.0214,0.0189,0.0182,0.0261,0.0416,0.0279,0.0568,0.1386,0.011,0.0277,0.0667,0.0716,0.0386
2009,0.0074,0.0387,0.0079,0.0077,0.0108,0.0074,0.0091,0.0055,0.0092,,0.1154,0.0199,,0.014,0.0105,0.0051,,0.0575,0.0524,0.0445,0.0185,0.0303,,0.0146,0.0212,0.0221,0.0109,0.0187,,0.0114,0.0104,0.0145,0.0087,0.0117,,0.0045,,0.0106,0.0447,0.0073,0.008,0.0071,0.0136,0.0152,0.0267,0.0089,0.009,0.0545,0.0217,0.0097,0.0574,0.0773,0.0107
2010,0.0035,0.0295,0.0215,0.0875,0.0035,0.0022,0.0031,0.0042,0.016,,0.0624,0.0103,,0.0155,0.0133,0.0083,0.0963,0.0301,0.0269,0.0197,0.013,0.0454,,0.0058,0.0181,0.0415,0.0049,0.0066,,0.0298,0.0276,0.012,0.028,NA,,0.0135,,0.0077,0.0285,0.0041,0.0077,0.011,0.0125,0.0167,0.0168,0.0258,0.0377,0.052,0.023,0.0381,0.1201,0.159,0.0502
2011,0.0029,0.0086,0.0349,0.0453,0.0184,0.0046,0.003,0.0038,0.0193,,0.1927,0.047,,0.0232,0.0552,0.043,0.0499,0.0424,0.0659,0.0213,0.0195,0.0328,,0.0081,0.0146,0.0139,0.0043,0.0056,,0.0193,0.0155,0.0047,0.0102,0.0012,,0.0056,,0.0159,0.0548,0.0064,0.0124,0.0033,0.0199,0.0141,0.01,0.0576,0.035,0.0471,0.0095,0.0792,0.0372,0.163,0.0184
2012,0.004,0.0596,0.0659,0.0685,0.0024,0.0093,0.0043,0.0155,0.0165,,0.1588,0.035,,0.006,0.0257,0.0417,0.0473,0.0531,0.0551,0.0271,0.0316,0.0605,,0.0154,0.0119,0.0267,0.0114,0.0115,,0.0144,0.0295,0.0057,0.0202,0.0008,,0.0055,,0.0179,0.0227,0.02,0.0021,0.0121,0.0088,0.0285,0.0188,0.0209,0.0136,0.0613,0.0304,0.033,0.0322,0.1533,0.0135
2013,0.0168,0.04,0.0485,0.1018,0.044,0.0061,0.015,0.0099,0.0087,,0.0848,0.0077,,0.0232,0.0167,0.0186,0.0899,0.06,0.0299,0.0173,0.0276,0.0378,,0.0177,0.0145,,0.0055,0.0029,,0.0058,0.0041,0.0129,0.0073,0.0002,,0.0066,,0.0098,0.0193,0.0273,0.0059,0.0135,0.0338,0.0444,0.0321,0.0882,0.0174,0.0429,0.0245,0.0625,0.1736,0.3646,0.0097
2014,0.0038,0.0043,0.0208,,0.0319,0.0127,0.02,0.0076,0.0073,,0.062,0.0506,,0.0136,0.0058,0.0117,0.0812,0.0596,0.0518,0.0154,0.014,0.0258,,0.0354,0.008,,,0.0021,,0.0156,0.0073,0.0481,0.0224,0.0004,,0.0095,,0.0094,,,0.002,0.0049,0.0078,0.0234,0.0081,0.0255,0.0025,0.0156,0.0155,0.0181,0.0114,0.0548,0.0256
2015,,,,,0.0612,,0.0217,0.0128,0.0245,,0.0848,0.0432,,0.0283,0.0423,,0,,,,,0.0423,,0.0495,0.0323,,,,,,,,,,,0.0769,,,,,,,,,,,,0,,,,,
